20140088,エアコン取替工事,2014/7/19,21,,
20140089,レストラン厨房機器電源コード修理,2014/7/22,5,,2014/7/23
20140090,ＮＯＴＥ新装工事,2014/7/18,2,2014/7/28,2014/9/1
20140091,フォトスタジオ　ペタル新装工事,2014/8/2,2,2014/8/1,2014/8/30
20140092,スナックメイ様照明改修工事,2014/8/1,66,2014/8/6,2014/8/7
20140093,見附第３号揚水機場パトライト取替工事,2014/8/5,18,,
20140094,ワゴン内コンセント取付工事,2014/8/7,31,,
20140095,三条ロイヤルホテル　ナノイー発生機取付,2014/8/4,49,,2014/8/12
20140096,研磨機配線代,2014/8/1,5,,
20140097,厨房内照明器具取替,2014/8/1,5,,2014/8/7
20140098,保健室エアコン修理,2014/8/7,3,,
20140099,荒町事務所参考メーター取付,2014/8/29,2,,
20140100,工場内照明器具移設工事,2014/8/27,68,,
20140101,小池様邸電気設備改修工事,2014/8/25,24,,
20140102,鬼島様邸電気設備改修工事,2014/8/18,24,,
20140103,渡辺克以様邸新築そっくりさん工事,2014/8/11,6,,
